日本語	英語	フランス語	ドイツ語	イタリア語	スペイン語	韓国語	中国語(簡)	中国語(繁)
シママ	Blitzle	Zébribon	Elezeba	Blitzle	Blitzle	줄뮤마	斑斑马	斑斑馬
ゼブライカ	Zebstrika	Zéblitz	Zebritz	Zebstrika	Zebstrika	제브라이카	雷电斑马	雷電斑馬
ダンゴロ	Roggenrola	Nodulithe	Kiesling	Roggenrola	Roggenrola	단굴	石丸子	石丸子
ガントル	Boldore	Géolithe	Sedimantur	Boldore	Boldore	암트르	地幔岩	地幔岩
ギガイアス	Gigalith	Gigalithe	Brockoloss	Gigalith	Gigalith	기가이어스	庞岩怪	龐岩怪
コロモリ	Woobat	Chovsourir	Fleknoil	Woobat	Woobat	또르박쥐	滚滚蝙蝠	滾滾蝙蝠
ココロモリ	Swoobat	Rhinolove	Fletiamo	Swoobat	Swoobat	맘박쥐	心蝙蝠	心蝙蝠
モグリュー	Drilbur	Rototaupe	Rotomurf	Drilbur	Drilbur	두더류	螺钉地鼠	螺釘地鼠
ドリュウズ	Excadrill	Minotaupe	Stalobor	Excadrill	Excadrill	몰드류	龙头地鼠	龍頭地鼠
タブンネ	Audino	Nanméouïe	Ohrdoch	Audino	Audino	다부니	差不多娃娃	差不多娃娃
ドッコラー	Timburr	Charpenti	Praktibalk	Timburr	Timburr	으랏차	搬运小匠	搬運小匠
ドテッコツ	Gurdurr	Ouvrifier	Strepoli	Gurdurr	Gurdurr	토쇠골	铁骨土人	鐵骨土人
ローブシン	Conkeldurr	Bétochef	Meistagrif	Conkeldurr	Conkeldurr	노보청	修建老匠	修建老匠
オタマロ	Tympole	Tritonde	Schallquap	Tympole	Tympole	동챙이	圆蝌蚪	圓蝌蚪
ガマガル	Palpitoad	Batracné	Mebrana	Palpitoad	Palpitoad	두까비	蓝蟾蜍	藍蟾蜍
ガマゲロゲ	Seismitoad	Crapustule	Branawarz	Seismitoad	Seismitoad	두빅굴	蟾蜍王	蟾蜍王
ナゲキ	Throh	Judokrak	Jiutesto	Throh	Throh	던지미	投摔鬼	投摔鬼
ダゲキ	Sawk	Karaclée	Karadonis	Sawk	Sawk	타격귀	打击鬼	打擊鬼
クルミル	Sewaddle	Larveyette	Strawickl	Sewaddle	Sewaddle	두르보	虫宝包	蟲寶包
クルマユ	Swadloon	Couverdure	Folikon	Swadloon	Swadloon	두르쿤	宝包茧	寶包繭
ハハコモリ	Leavanny	Manternel	Matrifol	Leavanny	Leavanny	모아머	保姆虫	保母蟲
フシデ	Venipede	Venipatte	Toxiped	Venipede	Venipede	마디네	百足蜈蚣	百足蜈蚣
ホイーガ	Whirlipede	Scobolide	Rollum	Whirlipede	Whirlipede	휠구	车轮球	車輪毬
ペンドラー	Scolipede	Brutapode	Cerapendra	Scolipede	Scolipede	펜드라	蜈蚣王	蜈蚣王
モンメン	Cottonee	Doudouvet	Waumboll	Cottonee	Cottonee	소미안	木棉球	木棉球
エルフーン	Whimsicott	Farfaduvet	Elfun	Whimsicott	Whimsicott	엘풍	风妖精	風妖精
チュリネ	Petilil	Chlorobule	Lilminip	Petilil	Petilil	치릴리	百合根娃娃	百合根娃娃
ドレディア	Lilligant	Fragilady	Dressella	Lilligant	Lilligant	드레디어	裙儿小姐	裙兒小姐
バスラオ	Basculin	Bargantua	Barschuft	Basculin	Basculin	배쓰나이	野蛮鲈鱼	野蠻鱸魚
メグロコ	Sandile	Mascaïman	Ganovil	Sandile	Sandile	깜눈크	黑眼鳄	黑眼鱷
ワルビル	Krokorok	Escroco	Rokkaiman	Krokorok	Krokorok	악비르	混混鳄	混混鱷
ワルビアル	Krookodile	Crocorible	Rabigator	Krookodile	Krookodile	악비아르	流氓鳄	流氓鱷
ダルマッカ	Darumaka	Darumarond	Flampion	Darumaka	Darumaka	달막화	火红不倒翁	火紅不倒翁
ヒヒダルマ	Darmanitan	Darumacho	Flampivian	Darmanitan	Darmanitan	불비달마	达摩狒狒	達摩狒狒
マラカッチ	Maractus	Maracachi	Maracamba	Maractus	Maractus	마라카치	沙铃仙人掌	沙鈴仙人掌
イシズマイ	Dwebble	Crabicoque	Lithomith	Dwebble	Dwebble	돌살이	石居蟹	石居蟹
イワパレス	Crustle	Crabaraque	Castellith	Crustle	Crustle	암팰리스	岩殿居蟹	岩殿居蟹
ズルッグ	Scraggy	Baggiguane	Zurrokex	Scraggy	Scraggy	곤율랭	滑滑小子	滑滑小子
ズルズキン	Scrafty	Baggaïd	Irokex	Scrafty	Scrafty	곤율거니	头巾混混	頭巾混混
シンボラー	Sigilyph	Cryptéro	Symvolara	Sigilyph	Sigilyph	심보러	象征鸟	象徵鳥
デスマス	Yamask	Tutafeh	Makabaja	Yamask	Yamask	데스마스	哭哭面具	哭哭面具
デスカーン	Cofagrigus	Tutankafer	Echnatoll	Cofagrigus	Cofagrigus	데스니칸	迭失棺	死神棺
プロトーガ	Tirtouga	Carapagos	Galapaflos	Tirtouga	Tirtouga	프로토가	原盖海龟	原蓋海龜
アバゴーラ	Carracosta	Mégapagos	Karippas	Carracosta	Carracosta	늑골라	肋骨海龟	肋骨海龜
アーケン	Archen	Arkéapti	Flapteryx	Archen	Archen	아켄	始祖小鸟	始祖小鳥
アーケオス	Archeops	Aéroptéryx	Aeropteryx	Archeops	Archeops	아케오스	始祖大鸟	始祖大鳥
ヤブクロン	Trubbish	Miamiasme	Unratütox	Trubbish	Trubbish	깨봉이	破破袋	破破袋
ダストダス	Garbodor	Miasmax	Deponitox	Garbodor	Garbodor	더스트나	灰尘山	灰塵山
ゾロア	Zorua	Zorua	Zorua	Zorua	Zorua	조로아	索罗亚	索羅亞
ゾロアーク	Zoroark	Zoroark	Zoroark	Zoroark	Zoroark	조로아크	索罗亚克	索羅亞克
チラーミィ	Minccino	Chinchidou	Picochilla	Minccino	Minccino	치라미	泡沫栗鼠	泡沫栗鼠
チラチーノ	Cinccino	Pashmilla	Chillabell	Cinccino	Cinccino	치라치노	奇诺栗鼠	奇諾栗鼠
ゴチム	Gothita	Scrutella	Mollimorba	Gothita	Gothita	고디탱	哥德宝宝	哥德寶寶
ゴチミル	Gothorita	Mesmérella	Hypnomorba	Gothorita	Gothorita	고디보미	哥德小童	哥德小童
ゴチルゼル	Gothitelle	Sidérella	Morbitesse	Gothitelle	Gothitelle	고디모아젤	哥德小姐	哥德小姐
ユニラン	Solosis	Nucléos	Monozyto	Solosis	Solosis	유니란	单卵细胞球	單卵細胞球
ダブラン	Duosion	Méios	Mitodos	Duosion	Duosion	듀란	双卵细胞球	雙卵細胞球
ランクルス	Reuniclus	Symbios	Zytomega	Reuniclus	Reuniclus	란쿨루스	人造细胞卵	人造細胞卵
コアルヒー	Ducklett	Couaneton	Piccolente	Ducklett	Ducklett	꼬지보리	鸭宝宝	鴨寶寶
スワンナ	Swanna	Lakmécygne	Swaroness	Swanna	Swanna	스완나	舞天鹅	舞天鵝
バニプッチ	Vanillite	Sorbébé	Gelatini	Vanillite	Vanillite	바닐프티	迷你冰	迷你冰
バニリッチ	Vanillish	Sorboul	Gelatroppo	Vanillish	Vanillish	바닐리치	多多冰	多多冰
バイバニラ	Vanilluxe	Sorbouboul	Gelatwino	Vanilluxe	Vanilluxe	배바닐라	双倍多多冰	雙倍多多冰
シキジカ	Deerling	Vivaldaim	Sesokitz	Deerling	Deerling	사철록	四季鹿	四季鹿
メブキジカ	Sawsbuck	Haydaim	Kronjuwild	Sawsbuck	Sawsbuck	바라철록	萌芽鹿	萌芽鹿
エモンガ	Emolga	Emolga	Emolga	Emolga	Emolga	에몽가	电飞鼠	電飛鼠
カブルモ	Karrablast	Carabing	Laukaps	Karrablast	Karrablast	딱정곤	盖盖虫	蓋蓋蟲
シュバルゴ	Escavalier	Lançargot	Cavalanzas	Escavalier	Escavalier	슈바르고	骑士蜗牛	騎士蝸牛
タマゲタケ	Foongus	Trompignon	Tarnpignon	Foongus	Foongus	깜놀버슬	哎呀球菇	哎呀球菇
モロバレル	Amoonguss	Gaulet	Hutsassa	Amoonguss	Amoonguss	뽀록나	败露球菇	敗露球菇
プルリル	Frillish	Viskuse	Quabbel	Frillish	Frillish	탱그릴	轻飘飘	輕飄飄
ブルンゲル	Jellicent	Moyade	Apoquallyp	Jellicent	Jellicent	탱탱겔	胖嘟嘟	胖嘟嘟
ママンボウ	Alomomola	Mamanbo	Mamolida	Alomomola	Alomomola	맘복치	保姆曼波	保母曼波
バチュル	Joltik	Statitik	Wattzapf	Joltik	Joltik	피쪼옥	电电虫	電電蟲
デンチュラ	Galvantula	Mygavolt	Voltula	Galvantula	Galvantula	전툴라	电蜘蛛	電蜘蛛
テッシード	Ferroseed	Grindur	Kastadur	Ferroseed	Ferroseed	철시드	种子铁球	種子鐵球
ナットレイ	Ferrothorn	Noacier	Tentantel	Ferrothorn	Ferrothorn	너트령	坚果哑铃	堅果啞鈴
ギアル	Klink	Tic	Klikk	Klink	Klink	기어르	齿轮儿	齒輪兒
ギギアル	Klang	Clic	Kliklak	Klang	Klang	기기어르	齿轮组	齒輪組
ギギギアル	Klinklang	Cliticlic	Klikdiklak	Klinklang	Klinklang	기기기어르	齿轮怪	齒輪怪
シビシラス	Tynamo	Anchwatt	Zapplardin	Tynamo	Tynamo	저리어	麻麻小鱼	麻麻小魚
シビビール	Eelektrik	Lampéroie	Zapplalek	Eelektrik	Eelektrik	저리릴	麻麻鳗	麻麻鰻
シビルドン	Eelektross	Ohmassacre	Zapplarang	Eelektross	Eelektross	저리더프	麻麻鳗鱼王	麻麻鰻魚王
リグレー	Elgyem	Lewsor	Pygraulon	Elgyem	Elgyem	리그레	小灰怪	小灰怪
オーベム	Beheeyem	Neitram	Megalon	Beheeyem	Beheeyem	벰크	大宇怪	大宇怪
ヒトモシ	Litwick	Funécire	Lichtel	Litwick	Litwick	불켜미	烛光灵	燭光靈
ランプラー	Lampent	Mélancolux	Laternecto	Lampent	Lampent	램프라	灯火幽灵	燈火幽靈
シャンデラ	Chandelure	Lugulabre	Skelabra	Chandelure	Chandelure	샹델라	水晶灯火灵	水晶燈火靈
キバゴ	Axew	Coupenotte	Milza	Axew	Axew	터검니	牙牙	牙牙
オノンド	Fraxure	Incisache	Sharfax	Fraxure	Fraxure	액슨도	斧牙龙	斧牙龍
オノノクス	Haxorus	Tranchodon	Maxax	Haxorus	Haxorus	액스라이즈	双斧战龙	雙斧戰龍
クマシュン	Cubchoo	Polarhume	Petznief	Cubchoo	Cubchoo	코고미	喷嚏熊	噴嚏熊
ツンベアー	Beartic	Polagriffe	Siberio	Beartic	Beartic	툰베어	冻原熊	凍原熊
フリージオ	Cryogonal	Hexagel	Frigometri	Cryogonal	Cryogonal	프리지오	几何雪花	幾何雪花
チョボマキ	Shelmet	Escargaume	Schnuthelm	Shelmet	Shelmet	쪼마리	小嘴蜗	小嘴蝸
アギルダー	Accelgor	Limaspeed	Hydragil	Accelgor	Accelgor	어지리더	敏捷虫	敏捷蟲
マッギョ	Stunfisk	Limonde	Flunschlik	Stunfisk	Stunfisk	메더	泥巴鱼	泥巴魚
コジョフー	Mienfoo	Kungfouine	Lin-Fu	Mienfoo	Mienfoo	비조푸	功夫鼬	功夫鼬
コジョンド	Mienshao	Shaofouine	Wie-Shu	Mienshao	Mienshao	비조도	师父鼬	師父鼬
クリムガン	Druddigon	Drakkarmin	Shardrago	Druddigon	Druddigon	크리만	赤面龙	赤面龍
ゴビット	Golett	Gringolem	Golbit	Golett	Golett	골비람	泥偶小人	泥偶小人
ゴルーグ	Golurk	Golemastoc	Golgantes	Golurk	Golurk	골루그	泥偶巨人	泥偶巨人
コマタナ	Pawniard	Scalpion	Gladiantri	Pawniard	Pawniard	자망칼	驹刀小兵	駒刀小兵
キリキザン	Bisharp	Scalproie	Caesurio	Bisharp	Bisharp	절각참	劈斩司令	劈斬司令
バッフロン	Bouffalant	Frison	Bisofank	Bouffalant	Bouffalant	버프론	爆炸头水牛	爆炸頭水牛
ワシボン	Rufflet	Furaiglon	Geronimatz	Rufflet	Rufflet	수리둥보	毛头小鹰	毛頭小鷹
ウォーグル	Braviary	Gueriaigle	Washakwil	Braviary	Braviary	워글	勇士雄鹰	勇士雄鷹
バルチャイ	Vullaby	Vostourno	Skallyk	Vullaby	Vullaby	벌차이	秃鹰丫头	禿鷹丫頭
バルジーナ	Mandibuzz	Vaututrice	Grypheldis	Mandibuzz	Mandibuzz	버랜지나	秃鹰娜	禿鷹娜
クイタラン	Heatmor	Aflamanoir	Furnifraß	Heatmor	Heatmor	앤티골	熔蚁兽	熔蟻獸
アイアント	Durant	Fermite	Fermicula	Durant	Durant	아이앤트	铁蚁	鐵蟻
モノズ	Deino	Solochi	Kapuno	Deino	Deino	모노두	单首龙	單首龍
ジヘッド	Zweilous	Diamat	Duodino	Zweilous	Zweilous	디헤드	双首暴龙	雙首暴龍
サザンドラ	Hydreigon	Trioxhydre	Trikephalo	Hydreigon	Hydreigon	삼삼드래	三首恶龙	三首惡龍
メラルバ	Larvesta	Pyronille	Ignivor	Larvesta	Larvesta	활화르바	燃烧虫	燃燒蟲
ウルガモス	Volcarona	Pyrax	Ramoth	Volcarona	Volcarona	불카모스	火神蛾	火神蛾
コバルオン	Cobalion	Cobaltium	Kobalium	Cobalion	Cobalion	코바르온	勾帕路翁	勾帕路翁
テラキオン	Terrakion	Terrakium	Terrakium	Terrakion	Terrakion	테라키온	代拉基翁	代拉基翁
ビリジオン	Virizion	Viridium	Viridium	Virizion	Virizion	비리디온	毕力吉翁	畢力吉翁
トルネロス	Tornadus	Boréas	Boreos	Tornadus	Tornadus	토네로스	龙卷云	龍捲雲
ボルトロス	Thundurus	Fulguris	Voltolos	Thundurus	Thundurus	볼트로스	雷电云	雷電雲
レシラム	Reshiram	Reshiram	Reshiram	Reshiram	Reshiram	레시라무	莱希拉姆	萊希拉姆
ゼクロム	Zekrom	Zekrom	Zekrom	Zekrom	Zekrom	제크로무	捷克罗姆	捷克羅姆
ランドロス	Landorus	Démétéros	Demeteros	Landorus	Landorus	랜드로스	土地云	土地雲
キュレム	Kyurem	Kyurem	Kyurem	Kyurem	Kyurem	큐레무	酋雷姆	酋雷姆
ケルディオ	Keldeo	Keldeo	Keldeo	Keldeo	Keldeo	케르디오	凯路迪欧	凱路迪歐
メロエッタ	Meloetta	Meloetta	Meloetta	Meloetta	Meloetta	메로엣타	美洛耶塔	美洛耶塔
ゲノセクト	Genesect	Genesect	Genesect	Genesect	Genesect	게노세크트	盖诺赛克特	蓋諾賽克特
ハリマロン	Chespin	Marisson	Igamaro	Chespin	Chespin	도치마론	哈力栗	哈力栗
ハリボーグ	Quilladin	Boguérisse	Igastarnish	Quilladin	Quilladin	도치보구	胖胖哈力	胖胖哈力
ブリガロン	Chesnaught	Blindépique	Brigaron	Chesnaught	Chesnaught	브리가론	布里卡隆	布里卡隆
フォッコ	Fennekin	Feunnec	Fynx	Fennekin	Fennekin	푸호꼬	火狐狸	火狐狸
テールナー	Braixen	Roussil	Rutena	Braixen	Braixen	테르나	长尾火狐	長尾火狐
マフォクシー	Delphox	Goupelin	Fennexis	Delphox	Delphox	마폭시	妖火红狐	妖火紅狐
ケロマツ	Froakie	Grenousse	Froxy	Froakie	Froakie	개구마르	呱呱泡蛙	呱呱泡蛙
ゲコガシラ	Frogadier	Croâporal	Amphizel	Frogadier	Frogadier	개굴반장	呱头蛙	呱頭蛙
ゲッコウガ	Greninja	Amphinobi	Quajutsu	Greninja	Greninja	개굴닌자	甲贺忍蛙	甲賀忍蛙
ホルビー	Bunnelby	Sapereau	Sapereau	Bunnelby	Bunnelby	파르빗	掘掘兔	掘掘兔
ホルード	Diggersby	Excavarenne	Grebbit	Diggersby	Diggersby	파르토	掘地兔	掘地兔
ヤヤコマ	Fletchling	Passerouge	Dartiri	Fletchling	Fletchling	화살꼬빈	小箭雀	小箭雀
ヒノヤコマ	Fletchinder	Braisillon	Dartignis	Fletchinder	Fletchinder	불화살빈	火箭雀	火箭雀
ファイアロー	Talonflame	Flambusard	Fiaro	Talonflame	Talonflame	파이어로	烈箭鹰	烈箭鷹
コフキムシ	Scatterbug	Lépidonille	Purmel	Scatterbug	Scatterbug	분이벌레	粉蝶虫	粉蝶蟲
コフーライ	Spewpa	Pérégrain	Puponcho	Spewpa	Spewpa	분떠도리	粉蝶蛹	粉蝶蛹
ビビヨン	Vivillon	Prismillon	Vivillon	Vivillon	Vivillon	비비용	彩粉蝶	彩粉蝶
シシコ	Litleo	Hélionceau	Leufeo	Litleo	Litleo	레오꼬	小狮狮	小獅獅
カエンジシ	Pyroar	Némélios	Pyroleo	Pyroar	Pyroar	화염레오	火炎狮	火炎獅
フラベベ	Flabébé	Flabébé	Flabébé	Flabébé	Flabébé	플라베베	花蓓蓓	花蓓蓓
フラエッテ	Floette	Floette	Floette	Floette	Floette	플라엣테	花叶蒂	花葉蒂
フラージェス	Florges	Florges	Florges	Florges	Florges	플라제스	花洁夫人	花潔夫人
メェークル	Skiddo	Cabriolaine	Mähikel	Skiddo	Skiddo	메이클	坐骑小羊	坐騎小羊
ゴーゴート	Gogoat	Chevroum	Chevrumm	Gogoat	Gogoat	고고트	坐骑山羊	坐騎山羊
ヤンチャム	Pancham	Pandespiègle	Pam-Pam	Pancham	Pancham	판짱	顽皮熊猫	頑皮熊貓
ゴロンダ	Pangoro	Pandarbare	Pandagro	Pangoro	Pangoro	부란다	霸道熊猫	流氓熊貓
トリミアン	Furfrou	Couafarel	Coiffwaff	Furfrou	Furfrou	트리미앙	多丽米亚	多麗米亞
ニャスパー	Espurr	Psystigri	Psiau	Espurr	Espurr	냐스퍼	妙喵	妙喵
ニャオニクス	Meowstic	Mistigrix	Psiaugon	Meowstic	Meowstic	냐오닉스	超能妙喵	超能妙喵
ヒトツキ	Honedge	Monorpale	Gramokles	Honedge	Honedge	단칼빙	独剑鞘	獨劍鞘
ニダンギル	Doublade	Dimoclès	Duokles	Doublade	Doublade	쌍검킬	双剑鞘	雙劍鞘
ギルガルド	Aegislash	Exagide	Durengard	Aegislash	Aegislash	킬가르도	坚盾剑怪	堅盾劍怪
シュシュプ	Spritzee	Fluvetin	Parfi	Spritzee	Spritzee	슈쁘	粉香香	粉香香
フレフワン	Aromatisse	Cocotine	Parfinesse	Aromatisse	Aromatisse	프레프티르	芳香精	芳香精
ペロッパフ	Swirlix	Sucroquin	Flauschling	Swirlix	Swirlix	나룸퍼프	绵绵泡芙	綿綿泡芙
ペロリーム	Slurpuff	Cupcanaille	Sabbaione	Slurpuff	Slurpuff	나루림	胖甜妮	胖甜妮
マーイーカ	Inkay	Sepiatop	Iscalar	Inkay	Inkay	오케이징	好啦鱿	好啦魷
カラマネロ	Malamar	Sepiatroce	Calamanero	Malamar	Malamar	칼라마네로	乌贼王	烏賊王
カメテテ	Binacle	Opermine	Bithora	Binacle	Binacle	거북손손	龟脚脚	龜腳腳
ガメノデス	Barbaracle	Golgopathe	Thanathora	Barbaracle	Barbaracle	거북손데스	龟足巨铠	龜足巨鎧
クズモー	Skrelp	Venalgue	Algitt	Skrelp	Skrelp	수레기	垃垃藻	垃垃藻
ドラミドロ	Dragalge	Kravarech	Tandrak	Dragalge	Dragalge	드래캄	毒藻龙	毒藻龍
ウデッポウ	Clauncher	Flingouste	Scampisto	Clauncher	Clauncher	완철포	铁臂枪虾	鐵臂槍蝦
ブロスター	Clawitzer	Gamblast	Wummer	Clawitzer	Clawitzer	블로스터	钢炮臂虾	鋼炮臂蝦
エリキテル	Helioptile	Galvaran	Eguana	Helioptile	Helioptile	목도리키텔	伞电蜥	傘電蜥
エレザード	Heliolisk	Iguolta	Elezard	Heliolisk	Heliolisk	일레도리자드	光电伞蜥	光電傘蜥
チゴラス	Tyrunt	Ptyranidur	Balgoras	Tyrunt	Tyrunt	티고라스	宝宝暴龙	寶寶暴龍
ガチゴラス	Tyrantrum	Rexillius	Monargoras	Tyrantrum	Tyrantrum	견고라스	怪颚龙	怪顎龍
アマルス	Amaura	Amagara	Amarino	Amaura	Amaura	아마루스	冰雪龙	冰雪龍
アマルルガ	Aurorus	Dragmara	Amagarga	Aurorus	Aurorus	아마루르가	冰雪巨龙	冰雪巨龍
ニンフィア	Sylveon	Nymphali	Feelinara	Sylveon	Sylveon	님피아	仙子伊布	仙子伊布
ルチャブル	Hawlucha	Brutalibré	Resladero	Hawlucha	Hawlucha	루차불	摔角鹰人	摔角鷹人
デデンネ	Dedenne	Dedenne	Dedenne	Dedenne	Dedenne	데덴네	咚咚鼠	咚咚鼠
メレシー	Carbink	Strassie	Rocara	Carbink	Carbink	멜리시	小碎钻	小碎鑽
ヌメラ	Goomy	Mucuscule	Viscora	Goomy	Goomy	미끄메라	黏黏宝	黏黏寶
ヌメイル	Sliggoo	Colimucus	Viscargot	Sliggoo	Sliggoo	미끄네일	黏美儿	黏美兒
ヌメルゴン	Goodra	Muplodocus	Viscogon	Goodra	Goodra	미끄래곤	黏美龙	黏美龍
クレッフィ	Klefki	Trousselin	Clavion	Klefki	Klefki	클레피	钥圈儿	鑰圈兒
ボクレー	Phantump	Brocélôme	Paragoni	Phantump	Phantump	나목령	小木灵	小木靈
オーロット	Trevenant	Desséliande	Trombork	Trevenant	Trevenant	대로트	朽木妖	朽木妖
バケッチャ	Pumpkaboo	Pitrouille	Irrbis	Pumpkaboo	Pumpkaboo	호바귀	南瓜精	南瓜精
パンプジン	Gourgeist	Banshitrouye	Pumpdjinn	Gourgeist	Gourgeist	펌킨인	南瓜怪人	南瓜怪人
カチコール	Bergmite	Grelaçon	Arktip	Bergmite	Bergmite	꽁어름	冰宝	冰寶
クレベース	Avalugg	Séracrawl	Arktilas	Avalugg	Avalugg	크레베이스	冰岩怪	冰岩怪
オンバット	Noibat	Sonistrelle	eF-eM	Noibat	Noibat	음뱃	嗡蝠	嗡蝠
オンバーン	Noivern	Bruyverne	UHaFnir	Noivern	Noivern	음번	音波龙	音波龍
ゼルネアス	Xerneas	Xerneas	Xerneas	Xerneas	Xerneas	제르네아스	哲尔尼亚斯	哲爾尼亞斯
イベルタル	Yveltal	Yveltal	Yveltal	Yveltal	Yveltal	이벨타르	伊裴尔塔尔	伊裴爾塔爾
ジガルデ	Zygarde	Zygarde	Zygarde	Zygarde	Zygarde	지가르데	基格尔德	基格爾德
ディアンシー	Diancie	Diancie	Diancie	Diancie	Diancie	디안시	蒂安希	蒂安希
フーパ	Hoopa	Hoopa	Hoopa	Hoopa	Hoopa	후파	胡帕	胡帕
ボルケニオン	Volcanion	Volcanion	Volcanion	Volcanion	Volcanion	볼케니온	波尔凯尼恩	波爾凱尼恩
モクロー	Rowlet	Brindibou	Bauz	Rowlet	Rowlet	나몰빼미	木木枭	木木梟
フクスロー	Dartrix	Efflèche	Arboretoss	Dartrix	Dartrix	빼미스로우	投羽枭	投羽梟
ジュナイパー	Decidueye	Archéduc	Silvarro	Decidueye	Decidueye	모크나이퍼	狙射树枭	狙射樹梟
ニャビー	Litten	Flamiaou	Flamiau	Litten	Litten	냐오불	火斑喵	火斑喵
ニャヒート	Torracat	Matoufeu	Miezunder	Torracat	Torracat	냐오히트	炎热喵	炎熱喵
ガオガエン	Incineroar	Félinferno	Fuegro	Incineroar	Incineroar	어흥염	炽焰咆哮虎	熾焰咆哮虎
アシマリ	Popplio	Otaquin	Robball	Popplio	Popplio	누리공	球球海狮	球球海獅
オシャマリ	Brionne	Otarlette	Marikeck	Brionne	Brionne	키요공	花漾海狮	花漾海獅
アシレーヌ	Primarina	Oratoria	Primarene	Primarina	Primarina	누리레느	西狮海壬	西獅海壬
ツツケラ	Pikipek	Picassaut	Peppeck	Pikipek	Pikipek	콕코구리	小笃儿	小篤兒
ケララッパ	Trumbeak	Piclairon	Trompeck	Trumbeak	Trumbeak	크라파	喇叭啄鸟	喇叭啄鳥
ドデカバシ	Toucannon	Bazoucan	Tukanon	Toucannon	Toucannon	왕큰부리	铳嘴大鸟	銃嘴大鳥
ヤングース	Yungoos	Manglouton	Mangunior	Yungoos	Yungoos	영구스	猫鼬少	貓鼬少
デカグース	Gumshoos	Argouste	Manguspektor	Gumshoos	Gumshoos	형사구스	猫鼬探长	貓鼬探長
アゴジムシ	Grubbin	Larvibule	Mabula	Grubbin	Grubbin	턱지충이	强颚鸡母虫	強顎雞母蟲
デンヂムシ	Charjabug	Chrysapile	Akkup	Charjabug	Charjabug	전지충이	虫电宝	蟲電寶
クワガノン	Vikavolt	Lucanon	Donarion	Vikavolt	Vikavolt	투구뿌논	锹农炮虫	鍬農炮蟲
マケンカニ	Crabrawler	Crabagarre	Krabbox	Crabrawler	Crabrawler	오기지게	好胜蟹	好勝蟹
ケケンカニ	Crabominable	Crabominable	Krawell	Crabominable	Crabominable	모단단게	好胜毛蟹	好勝毛蟹
オドリドリ	Oricorio	Plumeline	Choreogel	Oricorio	Oricorio	춤추새	花舞鸟	花舞鳥
アブリー	Cutiefly	Bombydou	Wommel	Cutiefly	Cutiefly	에블리	萌虻	萌虻
アブリボン	Ribombee	Rubombelle	Bandelby	Ribombee	Ribombee	에리본	蝶结萌虻	蝶結萌虻
イワンコ	Rockruff	Rocabot	Wuffels	Rockruff	Rockruff	암멍이	岩狗狗	岩狗狗
ルガルガン	Lycanroc	Lougaroc	Wolwerock	Lycanroc	Lycanroc	루가루암	鬃岩狼人	鬃岩狼人
ヨワシ	Wishiwashi	Froussardine	Lusardin	Wishiwashi	Wishiwashi	약어리	弱丁鱼	弱丁魚
ヒドイデ	Mareanie	Vorastérie	Garstella	Mareanie	Mareanie	시마사리	好坏星	好壞星
ドヒドイデ	Toxapex	Prédastérie	Aggrostella	Toxapex	Toxapex	더시마사리	超坏星	超壞星
ドロバンコ	Mudbray	Tiboudet	Pampuli	Mudbray	Mudbray	머드나기	泥驴仔	泥驢仔
バンバドロ	Mudsdale	Bourrinos	Pampross	Mudsdale	Mudsdale	만마드	重泥挽马	重泥挽馬
シズクモ	Dewpider	Araqua	Araqua	Dewpider	Dewpider	물거미	滴蛛	滴蛛
オニシズクモ	Araquanid	Tarenbulle	Aranestro	Araquanid	Araquanid	깨비물거미	滴蛛霸	滴蛛霸
カリキリ	Fomantis	Mimantis	Imantis	Fomantis	Fomantis	짜랑랑	伪螳草	偽螳草
ラランテス	Lurantis	Floramantis	Mantidea	Lurantis	Lurantis	라란티스	兰螳花	蘭螳花
ネマシュ	Morelull	Spododo	Bubungus	Morelull	Morelull	자마슈	睡睡菇	睡睡菇
マシェード	Shiinotic	Lampignon	Lamellux	Shiinotic	Shiinotic	마셰이드	灯罩夜菇	燈罩夜菇
ヤトウモリ	Salandit	Tritox	Molunk	Salandit	Salandit	야도뇽	夜盗火蜥	夜盜火蜥
エンニュート	Salazzle	Malamandre	Amfira	Salazzle	Salazzle	염뉴트	焰后蜥	焰后蜥
ヌイコグマ	Stufful	Nounourson	Velursi	Stufful	Stufful	포곰곰	童偶熊	童偶熊
キテルグマ	Bewear	Chelours	Kosturso	Bewear	Bewear	이븐곰	穿着熊	穿著熊
アマカジ	Bounsweet	Croquine	Frubberl	Bounsweet	Bounsweet	달콤아	甜竹竹	甜竹竹
アママイコ	Steenee	Candine	Frubaila	Steenee	Steenee	달무리나	甜舞妮	甜舞妮
アマージョ	Tsareena	Sucreine	Fruyal	Tsareena	Tsareena	달코퀸	甜冷美后	甜冷美后
キュワワー	Comfey	Guérilande	Curelei	Comfey	Comfey	큐아링	花疗环环	花療環環
ヤレユータン	Oranguru	Gouroutan	Kommandutan	Oranguru	Oranguru	하랑우탄	智挥猩	智揮猩
ナゲツケサル	Passimian	Quartermac	Quartermak	Passimian	Passimian	내던숭이	投掷猴	投擲猴
コソクムシ	Wimpod	Sovkipou	Reißlaus	Wimpod	Wimpod	꼬시레	胆小虫	膽小蟲
