,id,form_id,name,form,alias,category,weight,height,type_1,type_2,ability_1,ability_2,ability_3,last_gen,H,A,B,C,D,S
0488-000,488,0,クレセリア,,クレセリア,みかづきポケモン,85.6,1.5,エスパー,,ふゆう,,,9,120,70,110,75,120,85
0489-000,489,0,フィオネ,,フィオネ,かいようポケモン,3.1,0.4,みず,,うるおいボディ,,,9,80,80,80,80,80,80
0490-000,490,0,マナフィ,,マナフィ,かいゆうポケモン,1.4,0.3,みず,,うるおいボディ,,,9,100,100,100,100,100,100
0491-000,491,0,ダークライ,,ダークライ,あんこくポケモン,50.5,1.5,あく,,ナイトメア,,,9,70,90,90,135,90,125
0492-000,492,0,シェイミ,ランドフォルム,シェイミ(ランド),かんしゃポケモン,2.1,0.2,くさ,,しぜんかいふく,,,9,100,100,100,100,100,100
0492-001,492,1,シェイミ,スカイフォルム,シェイミ(スカイ),かんしゃポケモン,5.2,0.4,くさ,ひこう,てんのめぐみ,,,9,100,103,75,120,75,127
0493-000,493,0,アルセウス,アルセウスのすがた,アルセウス,そうぞうポケモン,320.0,3.2,ノーマル,,マルチタイプ,,,9,120,120,120,120,120,120
0494-000,494,0,ビクティニ,,ビクティニ,しょうりポケモン,4.0,0.4,エスパー,ほのお,しょうりのほし,,,8,100,100,100,100,100,100
0495-000,495,0,ツタージャ,,ツタージャ,くさへびポケモン,8.1,0.6,くさ,,しんりょく,あまのじゃく,,9,45,45,55,45,55,63
0496-000,496,0,ジャノビー,,ジャノビー,くさへびポケモン,16.0,0.8,くさ,,しんりょく,あまのじゃく,,9,60,60,75,60,75,83
0497-000,497,0,ジャローダ,,ジャローダ,ロイヤルポケモン,63.0,3.3,くさ,,しんりょく,あまのじゃく,,9,75,75,95,75,95,113
0498-000,498,0,ポカブ,,ポカブ,ひぶたポケモン,9.9,0.5,ほのお,,もうか,あついしぼう,,9,65,63,45,45,45,45
0499-000,499,0,チャオブー,,チャオブー,ひぶたポケモン,55.5,1.0,ほのお,かくとう,もうか,あついしぼう,,9,90,93,55,70,55,55
0500-000,500,0,エンブオー,,エンブオー,おおひぶたポケモン,150.0,1.6,ほのお,かくとう,もうか,すてみ,,9,110,123,65,100,65,65
0501-000,501,0,ミジュマル,,ミジュマル,ラッコポケモン,5.9,0.5,みず,,げきりゅう,シェルアーマー,,9,55,55,45,63,45,45
0502-000,502,0,フタチマル,,フタチマル,しゅぎょうポケモン,24.5,0.8,みず,,げきりゅう,シェルアーマー,,9,75,75,60,83,60,60
0503-000,503,0,ダイケンキ,,ダイケンキ,かんろくポケモン,94.6,1.5,みず,,げきりゅう,シェルアーマー,,9,95,100,85,108,70,70
0503-001,503,1,ダイケンキ,ヒスイのすがた,ダイケンキ(ヒスイ),かんろくポケモン,58.2,1.5,みず,あく,げきりゅう,シェルアーマー,きれあじ,9,90,108,80,100,65,85
0504-000,504,0,ミネズミ,,ミネズミ,みはりポケモン,11.6,0.5,ノーマル,,にげあし,するどいめ,アナライズ,7,45,55,39,35,39,42
0505-000,505,0,ミルホッグ,,ミルホッグ,けいかいポケモン,27.0,1.1,ノーマル,,はっこう,するどいめ,アナライズ,7,60,85,69,60,69,77
0506-000,506,0,ヨーテリー,,ヨーテリー,こいぬポケモン,4.1,0.4,ノーマル,,やるき,ものひろい,にげあし,8,45,60,45,25,45,55
0507-000,507,0,ハーデリア,,ハーデリア,ちゅうけんポケモン,14.7,0.9,ノーマル,,いかく,すなかき,きもったま,8,65,80,65,35,65,60
0508-000,508,0,ムーランド,,ムーランド,かんだいポケモン,61.0,1.2,ノーマル,,いかく,すなかき,きもったま,8,85,110,90,45,90,80
0509-000,509,0,チョロネコ,,チョロネコ,しょうわるポケモン,10.1,0.4,あく,,じゅうなん,かるわざ,いたずらごころ,8,41,50,37,50,37,66
0510-000,510,0,レパルダス,,レパルダス,れいこくポケモン,37.5,1.1,あく,,じゅうなん,かるわざ,いたずらごころ,8,64,88,50,88,50,106
0511-000,511,0,ヤナップ,,ヤナップ,くさざるポケモン,10.5,0.6,くさ,,くいしんぼう,しんりょく,,7,50,53,48,53,48,64
0512-000,512,0,ヤナッキー,,ヤナッキー,とげざるポケモン,30.5,1.1,くさ,,くいしんぼう,しんりょく,,7,75,98,63,98,63,101
0513-000,513,0,バオップ,,バオップ,こうおんポケモン,11.0,0.6,ほのお,,くいしんぼう,もうか,,7,50,53,48,53,48,64
0514-000,514,0,バオッキー,,バオッキー,ひのこポケモン,28.0,1.0,ほのお,,くいしんぼう,もうか,,7,75,98,63,98,63,101
0515-000,515,0,ヒヤップ,,ヒヤップ,みずかけポケモン,13.5,0.6,みず,,くいしんぼう,げきりゅう,,7,50,53,48,53,48,64
0516-000,516,0,ヒヤッキー,,ヒヤッキー,ほうすいポケモン,29.0,1.0,みず,,くいしんぼう,げきりゅう,,7,75,98,63,98,63,101
0517-000,517,0,ムンナ,,ムンナ,ゆめくいポケモン,23.3,0.6,エスパー,,よちむ,シンクロ,テレパシー,8,76,25,45,67,55,24
0518-000,518,0,ムシャーナ,,ムシャーナ,ゆめうつつポケモン,60.5,1.1,エスパー,,よちむ,シンクロ,テレパシー,8,116,55,85,107,95,29
0519-000,519,0,マメパト,,マメパト,こばとポケモン,2.1,0.3,ノーマル,ひこう,はとむね,きょううん,とうそうしん,8,50,55,50,36,30,43
0520-000,520,0,ハトーボー,,ハトーボー,のばとポケモン,15.0,0.6,ノーマル,ひこう,はとむね,きょううん,とうそうしん,8,62,77,62,50,42,65
0521-000,521,0,ケンホロウ,,ケンホロウ,プライドポケモン,29.0,1.2,ノーマル,ひこう,はとむね,きょううん,とうそうしん,8,80,115,80,65,55,93
0522-000,522,0,シママ,,シママ,たいでんポケモン,29.8,0.8,でんき,,ひらいしん,でんきエンジン,そうしょく,9,45,60,32,50,32,76
0523-000,523,0,ゼブライカ,,ゼブライカ,らいでんポケモン,79.5,1.6,でんき,,ひらいしん,でんきエンジン,そうしょく,9,75,100,63,80,63,116
0524-000,524,0,ダンゴロ,,ダンゴロ,マントルポケモン,18.0,0.4,いわ,,がんじょう,くだけるよろい,すなのちから,8,55,75,85,25,25,15
0525-000,525,0,ガントル,,ガントル,こうせきポケモン,102.0,0.9,いわ,,がんじょう,くだけるよろい,すなのちから,8,70,105,105,50,40,20
0526-000,526,0,ギガイアス,,ギガイアス,こうあつポケモン,260.0,1.7,いわ,,がんじょう,すなおこし,すなのちから,8,85,135,130,60,80,25
0527-000,527,0,コロモリ,,コロモリ,こうもりポケモン,2.1,0.4,エスパー,ひこう,てんねん,ぶきよう,たんじゅん,8,65,45,43,55,43,72
0528-000,528,0,ココロモリ,,ココロモリ,きゅうあいポケモン,10.5,0.9,エスパー,ひこう,てんねん,ぶきよう,たんじゅん,8,67,57,55,77,55,114
0529-000,529,0,モグリュー,,モグリュー,もぐらポケモン,8.5,0.3,じめん,,すなかき,すなのちから,かたやぶり,9,60,85,40,30,45,68
0530-000,530,0,ドリュウズ,,ドリュウズ,ちていポケモン,40.4,0.7,じめん,はがね,すなかき,すなのちから,かたやぶり,9,110,135,60,50,65,88
0531-000,531,0,タブンネ,,タブンネ,ヒヤリングポケモン,31.0,1.1,ノーマル,,いやしのこころ,さいせいりょく,ぶきよう,8,103,60,86,60,86,50
0531-001,531,1,タブンネ,メガタブンネ,メガタブンネ,ヒヤリングポケモン,32.0,1.5,ノーマル,フェアリー,いやしのこころ,ぶきよう,,7,103,60,86,60,86,50
0532-000,532,0,ドッコラー,,ドッコラー,きんこつポケモン,12.5,0.6,かくとう,,こんじょう,ちからずく,てつのこぶし,9,75,80,55,25,35,35
0533-000,533,0,ドテッコツ,,ドテッコツ,きんこつポケモン,40.0,1.2,かくとう,,こんじょう,ちからずく,てつのこぶし,9,85,105,85,40,50,40
0534-000,534,0,ローブシン,,ローブシン,きんこつポケモン,87.0,1.4,かくとう,,こんじょう,ちからずく,てつのこぶし,9,105,140,95,55,65,45
0535-000,535,0,オタマロ,,オタマロ,おたまポケモン,4.5,0.5,みず,,すいすい,うるおいボディ,ちょすい,8,50,50,40,50,40,64
0536-000,536,0,ガマガル,,ガマガル,しんどうポケモン,17.0,0.8,みず,じめん,すいすい,うるおいボディ,ちょすい,8,75,65,55,65,55,69
0537-000,537,0,ガマゲロゲ,,ガマゲロゲ,しんどうポケモン,62.0,1.5,みず,じめん,すいすい,どくしゅ,ちょすい,8,105,95,75,85,75,74
0538-000,538,0,ナゲキ,,ナゲキ,じゅうどうポケモン,55.5,1.3,かくとう,,こんじょう,せいしんりょく,かたやぶり,8,120,100,85,30,85,45
0539-000,539,0,ダゲキ,,ダゲキ,からてポケモン,51.0,1.4,かくとう,,がんじょう,せいしんりょく,かたやぶり,8,75,125,75,30,75,85
0540-000,540,0,クルミル,,クルミル,さいほうポケモン,2.5,0.3,むし,くさ,むしのしらせ,ようりょくそ,ぼうじん,9,45,53,70,40,60,42
0541-000,541,0,クルマユ,,クルマユ,はごもりポケモン,7.3,0.5,むし,くさ,リーフガード,ようりょくそ,ぼうじん,9,55,63,90,50,80,42
0542-000,542,0,ハハコモリ,,ハハコモリ,こそだてポケモン,20.5,1.2,むし,くさ,むしのしらせ,ようりょくそ,ぼうじん,9,75,103,80,70,80,92
0543-000,543,0,フシデ,,フシデ,ムカデポケモン,5.3,0.4,むし,どく,どくのトゲ,むしのしらせ,かそく,8,30,45,59,30,39,57
0544-000,544,0,ホイーガ,,ホイーガ,まゆムカデポケモン,58.5,1.2,むし,どく,どくのトゲ,むしのしらせ,かそく,8,40,55,99,40,79,47
0545-000,545,0,ペンドラー,,ペンドラー,メガムカデポケモン,200.5,2.5,むし,どく,どくのトゲ,むしのしらせ,かそく,8,60,100,89,55,69,112
0546-000,546,0,モンメン,,モンメン,わたたまポケモン,0.6,0.3,くさ,フェアリー,いたずらごころ,すりぬけ,ようりょくそ,9,40,27,60,37,50,66
0547-000,547,0,エルフーン,,エルフーン,かぜかくれポケモン,6.6,0.7,くさ,フェアリー,いたずらごころ,すりぬけ,ようりょくそ,9,60,67,85,77,75,116
0548-000,548,0,チュリネ,,チュリネ,ねっこポケモン,6.6,0.5,くさ,,ようりょくそ,マイペース,リーフガード,9,45,35,50,70,50,30
0549-000,549,0,ドレディア,,ドレディア,はなかざりポケモン,16.3,1.1,くさ,,ようりょくそ,マイペース,リーフガード,9,70,60,75,110,75,90
0549-001,549,1,ドレディア,ヒスイのすがた,ドレディア(ヒスイ),スピンポケモン,19.2,1.2,くさ,かくとう,ようりょくそ,はりきり,リーフガード,9,70,105,75,50,75,105
0550-000,550,0,バスラオ,あかすじのすがた,バスラオ(あか),らんぼうポケモン,18.0,1.0,みず,,すてみ,てきおうりょく,かたやぶり,9,70,92,65,80,55,98
0550-001,550,1,バスラオ,あおすじのすがた,バスラオ(あお),らんぼうポケモン,18.0,1.0,みず,,いしあたま,てきおうりょく,かたやぶり,9,70,92,65,80,55,98
0550-002,550,2,バスラオ,しろすじのすがた,バスラオ(しろ),おんこうポケモン,18.0,1.0,みず,,びびり,てきおうりょく,かたやぶり,9,70,92,65,80,55,98
0551-000,551,0,メグロコ,,メグロコ,さばくワニポケモン,15.2,0.7,じめん,あく,いかく,じしんかじょう,いかりのつぼ,9,50,72,35,35,35,65
0552-000,552,0,ワルビル,,ワルビル,さばくワニポケモン,33.4,1.0,じめん,あく,いかく,じしんかじょう,いかりのつぼ,9,60,82,45,45,45,74
0553-000,553,0,ワルビアル,,ワルビアル,いかくポケモン,96.3,1.5,じめん,あく,いかく,じしんかじょう,いかりのつぼ,9,95,117,80,65,70,92
0554-000,554,0,ダルマッカ,,ダルマッカ,だるまポケモン,37.5,0.6,ほのお,,はりきり,せいしんりょく,,8,70,90,45,15,45,50
0554-001,554,1,ダルマッカ,ガラルのすがた,ダルマッカ(ガラル),だるまポケモン,40.0,0.7,こおり,,はりきり,せいしんりょく,,8,70,90,45,15,45,50
0555-000,555,0,ヒヒダルマ,ノーマルモード,ヒヒダルマ(ノーマル),えんじょうポケモン,92.9,1.3,ほのお,,ちからずく,ダルマモード,,8,105,140,55,30,55,95
0555-001,555,1,ヒヒダルマ,ダルマモード,ヒヒダルマ(ダルマ),えんじょうポケモン,92.9,1.3,ほのお,エスパー,ダルマモード,ちからずく,,8,105,30,105,140,105,55
0555-002,555,2,ヒヒダルマ,ガラルのすがた,ヒヒダルマ(ガラル),だるまポケモン,120.0,1.7,こおり,,ごりむちゅう,ダルマモード,,8,105,140,55,30,55,95
0556-000,556,0,マラカッチ,,マラカッチ,サボテンポケモン,28.0,1.0,くさ,,ちょすい,ようりょくそ,よびみず,8,75,86,67,106,67,60
0557-000,557,0,イシズマイ,,イシズマイ,いしやどポケモン,14.5,0.3,むし,いわ,がんじょう,シェルアーマー,くだけるよろい,8,50,65,85,35,35,55
0558-000,558,0,イワパレス,,イワパレス,いわやどポケモン,200.0,1.4,むし,いわ,がんじょう,シェルアーマー,くだけるよろい,8,70,105,125,65,75,45
0559-000,559,0,ズルッグ,,ズルッグ,だっぴポケモン,11.8,0.6,あく,かくとう,だっぴ,じしんかじょう,いかく,9,50,75,70,35,70,48
0560-000,560,0,ズルズキン,,ズルズキン,あくとうポケモン,30.0,1.1,あく,かくとう,だっぴ,じしんかじょう,いかく,9,65,90,115,45,115,58
0561-000,561,0,シンボラー,,シンボラー,とりもどきポケモン,14.0,1.4,エスパー,ひこう,ミラクルスキン,マジックガード,いろめがね,8,72,58,80,103,80,97
0562-000,562,0,デスマス,,デスマス,たましいポケモン,1.5,0.5,ゴースト,,ミイラ,,,8,38,30,85,55,65,30
0562-001,562,1,デスマス,ガラルのすがた,デスマス(ガラル),たましいポケモン,1.5,0.5,じめん,ゴースト,さまようたましい,ミイラ,,8,38,55,85,30,65,30
0563-000,563,0,デスカーン,,デスカーン,かんおけポケモン,76.5,1.7,ゴースト,,ミイラ,,,8,58,50,145,95,105,30
0564-000,564,0,プロトーガ,,プロトーガ,こだいがめポケモン,16.5,0.7,みず,いわ,ハードロック,がんじょう,すいすい,8,54,78,103,53,45,22
0565-000,565,0,アバゴーラ,,アバゴーラ,こだいがめポケモン,81.0,1.2,みず,いわ,ハードロック,がんじょう,すいすい,8,74,108,133,83,65,32
0566-000,566,0,アーケン,,アーケン,さいこどりポケモン,9.5,0.5,いわ,ひこう,よわき,,,8,55,112,45,74,45,70
0567-000,567,0,アーケオス,,アーケオス,さいこどりポケモン,32.0,1.4,いわ,ひこう,よわき,,,8,75,140,65,112,65,110
0568-000,568,0,ヤブクロン,,ヤブクロン,ゴミぶくろポケモン,31.0,0.6,どく,,あくしゅう,ねんちゃく,ゆうばく,8,50,50,62,40,62,65
0569-000,569,0,ダストダス,,ダストダス,ゴミすてばポケモン,107.3,1.9,どく,,あくしゅう,くだけるよろい,ゆうばく,8,80,95,82,60,82,75
0569-999,569,999,ダストダス,キョダイマックス,ダストダス(キョダイ),-,9999.9,21.0,どく,,あくしゅう,くだけるよろい,ゆうばく,8,80,95,82,60,82,75
0570-000,570,0,ゾロア,,ゾロア,わるぎつねポケモン,12.5,0.7,あく,,イリュージョン,,,9,40,65,40,80,40,65
0570-001,570,1,ゾロア,ヒスイのすがた,ゾロア(ヒスイ),うらみぎつねポケモン,12.5,0.7,ノーマル,ゴースト,イリュージョン,,,9,35,60,40,85,40,70
0571-000,571,0,ゾロアーク,,ゾロアーク,ばけぎつねポケモン,81.1,1.6,あく,,イリュージョン,,,9,60,105,60,120,60,105
0571-001,571,1,ゾロアーク,ヒスイのすがた,ゾロアーク(ヒスイ),のろいぎつねポケモン,73.0,1.6,ノーマル,ゴースト,イリュージョン,,,9,55,100,60,125,60,110
0572-000,572,0,チラーミィ,,チラーミィ,チンチラポケモン,5.8,0.4,ノーマル,,メロメロボディ,テクニシャン,スキルリンク,9,55,50,40,40,40,75
0573-000,573,0,チラチーノ,,チラチーノ,スカーフポケモン,7.5,0.5,ノーマル,,メロメロボディ,テクニシャン,スキルリンク,9,75,95,60,65,60,115
0574-000,574,0,ゴチム,,ゴチム,ぎょうしポケモン,5.8,0.4,エスパー,,おみとおし,かちき,かげふみ,9,45,30,50,55,65,45
0575-000,575,0,ゴチミル,,ゴチミル,あやつりポケモン,18.0,0.7,エスパー,,おみとおし,かちき,かげふみ,9,60,45,70,75,85,55
0576-000,576,0,ゴチルゼル,,ゴチルゼル,てんたいポケモン,44.0,1.5,エスパー,,おみとおし,かちき,かげふみ,9,70,55,95,95,110,65
0577-000,577,0,ユニラン,,ユニラン,さいぼうポケモン,1.0,0.3,エスパー,,ぼうじん,マジックガード,さいせいりょく,9,45,30,40,105,50,20
0578-000,578,0,ダブラン,,ダブラン,ぶんかつポケモン,8.0,0.6,エスパー,,ぼうじん,マジックガード,さいせいりょく,9,65,40,50,125,60,30
0579-000,579,0,ランクルス,,ランクルス,ぞうふくポケモン,20.1,1.0,エスパー,,ぼうじん,マジックガード,さいせいりょく,9,110,65,75,125,85,30
0580-000,580,0,コアルヒー,,コアルヒー,みずどりポケモン,5.5,0.5,みず,ひこう,するどいめ,はとむね,うるおいボディ,9,62,44,50,44,50,55
0581-000,581,0,スワンナ,,スワンナ,しらとりポケモン,24.2,1.3,みず,ひこう,するどいめ,はとむね,うるおいボディ,9,75,87,63,87,63,98
0582-000,582,0,バニプッチ,,バニプッチ,しんせつポケモン,5.7,0.4,こおり,,アイスボディ,ゆきがくれ,くだけるよろい,8,36,50,50,65,60,44
0583-000,583,0,バニリッチ,,バニリッチ,ひょうせつポケモン,41.0,1.1,こおり,,アイスボディ,ゆきがくれ,くだけるよろい,8,51,65,65,80,75,59
0584-000,584,0,バイバニラ,,バイバニラ,ブリザードポケモン,57.5,1.3,こおり,,アイスボディ,ゆきふらし,くだけるよろい,8,71,95,85,110,95,79
0585-000,585,0,シキジカ,,シキジカ,きせつポケモン,19.5,0.6,ノーマル,くさ,ようりょくそ,そうしょく,てんのめぐみ,9,60,60,50,40,50,75
0586-000,586,0,メブキジカ,,メブキジカ,きせつポケモン,92.5,1.9,ノーマル,くさ,ようりょくそ,そうしょく,てんのめぐみ,9,80,100,70,60,70,95
0587-000,587,0,エモンガ,,エモンガ,モモンガポケモン,5.0,0.4,でんき,ひこう,せいでんき,でんきエンジン,,8,55,75,60,75,60,103
0588-000,588,0,カブルモ,,カブルモ,かぶりつきポケモン,5.9,0.5,むし,,むしのしらせ,だっぴ,ノーガード,8,50,75,45,40,45,60
0589-000,589,0,シュバルゴ,,シュバルゴ,きへいポケモン,33.0,1.0,むし,はがね,むしのしらせ,シェルアーマー,ぼうじん,8,70,135,105,60,105,20
0590-000,590,0,タマゲタケ,,タマゲタケ,きのこポケモン,1.0,0.2,くさ,どく,ほうし,さいせいりょく,,9,69,55,45,55,55,15
0591-000,591,0,モロバレル,,モロバレル,きのこポケモン,10.5,0.6,くさ,どく,ほうし,さいせいりょく,,9,114,85,70,85,80,30
0592-000,592,0,プルリル,,プルリル,ふゆうポケモン,33.0,1.2,みず,ゴースト,ちょすい,のろわれボディ,しめりけ,8,55,40,50,65,85,40
0593-000,593,0,ブルンゲル,,ブルンゲル,ふゆうポケモン,135.0,2.2,みず,ゴースト,ちょすい,のろわれボディ,しめりけ,8,100,60,70,85,105,60
0594-000,594,0,ママンボウ,,ママンボウ,かいほうポケモン,31.6,1.2,みず,,いやしのこころ,うるおいボディ,さいせいりょく,9,165,75,80,40,45,65
0595-000,595,0,バチュル,,バチュル,くっつきポケモン,0.6,0.1,むし,でんき,ふくがん,きんちょうかん,むしのしらせ,9,50,47,50,57,50,65
0596-000,596,0,デンチュラ,,デンチュラ,でんきグモポケモン,14.3,0.8,むし,でんき,ふくがん,きんちょうかん,むしのしらせ,9,70,77,60,97,60,108
0597-000,597,0,テッシード,,テッシード,とげのみポケモン,18.8,0.6,くさ,はがね,てつのトゲ,,,8,44,50,91,24,86,10
0598-000,598,0,ナットレイ,,ナットレイ,とげだまポケモン,110.0,1.0,くさ,はがね,てつのトゲ,きけんよち,,8,74,94,131,54,116,20
0599-000,599,0,ギアル,,ギアル,はぐるまポケモン,21.0,0.3,はがね,,プラス,マイナス,クリアボディ,8,40,55,70,45,60,30
0600-000,600,0,ギギアル,,ギギアル,はぐるまポケモン,51.0,0.6,はがね,,プラス,マイナス,クリアボディ,8,60,80,95,70,85,50
0601-000,601,0,ギギギアル,,ギギギアル,はぐるまポケモン,81.0,0.6,はがね,,プラス,マイナス,クリアボディ,8,60,100,115,70,85,90
0602-000,602,0,シビシラス,,シビシラス,でんきうおポケモン,0.3,0.2,でんき,,ふゆう,,,9,35,55,40,45,40,60
0603-000,603,0,シビビール,,シビビール,でんきうおポケモン,22.0,1.2,でんき,,ふゆう,,,9,65,85,70,75,70,40
0604-000,604,0,シビルドン,,シビルドン,でんきうおポケモン,80.5,2.1,でんき,,ふゆう,,,9,85,115,80,105,80,50
0605-000,605,0,リグレー,,リグレー,ブレインポケモン,9.0,0.5,エスパー,,テレパシー,シンクロ,アナライズ,8,55,55,55,85,55,30
0606-000,606,0,オーベム,,オーベム,ブレインポケモン,34.5,1.0,エスパー,,テレパシー,シンクロ,アナライズ,8,75,75,75,125,95,40
0607-000,607,0,ヒトモシ,,ヒトモシ,ろうそくポケモン,3.1,0.3,ゴースト,ほのお,もらいび,ほのおのからだ,すりぬけ,9,50,30,55,65,55,20
0608-000,608,0,ランプラー,,ランプラー,ランプポケモン,13.0,0.6,ゴースト,ほのお,もらいび,ほのおのからだ,すりぬけ,9,60,40,60,95,60,55
0609-000,609,0,シャンデラ,,シャンデラ,いざないポケモン,34.3,1.0,ゴースト,ほのお,もらいび,ほのおのからだ,すりぬけ,9,60,55,90,145,90,80
0610-000,610,0,キバゴ,,キバゴ,キバポケモン,18.0,0.6,ドラゴン,,とうそうしん,かたやぶり,きんちょうかん,9,46,87,60,30,40,57
0611-000,611,0,オノンド,,オノンド,あごオノポケモン,36.0,1.0,ドラゴン,,とうそうしん,かたやぶり,きんちょうかん,9,66,117,70,40,50,67
0612-000,612,0,オノノクス,,オノノクス,あごオノポケモン,105.5,1.8,ドラゴン,,とうそうしん,かたやぶり,きんちょうかん,9,76,147,90,60,70,97
0613-000,613,0,クマシュン,,クマシュン,ひょうけつポケモン,8.5,0.5,こおり,,ゆきがくれ,ゆきかき,びびり,9,55,70,40,60,40,40
0614-000,614,0,ツンベアー,,ツンベアー,とうけつポケモン,260.0,2.6,こおり,,ゆきがくれ,ゆきかき,すいすい,9,95,130,80,70,80,50
0615-000,615,0,フリージオ,,フリージオ,けっしょうポケモン,148.0,1.1,こおり,,ふゆう,,,9,80,50,50,95,135,105
0616-000,616,0,チョボマキ,,チョボマキ,マイマイポケモン,7.7,0.4,むし,,うるおいボディ,シェルアーマー,ぼうじん,8,50,40,85,40,65,25
0617-000,617,0,アギルダー,,アギルダー,からぬけポケモン,25.3,0.8,むし,,うるおいボディ,ねんちゃく,かるわざ,8,80,70,40,100,60,145
0618-000,618,0,マッギョ,,マッギョ,トラップポケモン,11.0,0.7,じめん,でんき,せいでんき,じゅうなん,すながくれ,8,109,66,84,81,99,32
0618-001,618,1,マッギョ,ガラルのすがた,マッギョ(ガラル),トラップポケモン,20.5,0.7,じめん,はがね,ぎたい,すながくれ,,8,109,81,99,66,84,32
0619-000,619,0,コジョフー,,コジョフー,ぶじゅつポケモン,20.0,0.9,かくとう,,せいしんりょく,さいせいりょく,すてみ,9,45,85,50,55,50,65
0620-000,620,0,コジョンド,,コジョンド,ぶじゅつポケモン,35.5,1.4,かくとう,,せいしんりょく,さいせいりょく,すてみ,9,65,125,60,95,60,105
0621-000,621,0,クリムガン,,クリムガン,ほらあなポケモン,139.0,1.6,ドラゴン,,さめはだ,ちからずく,かたやぶり,8,77,120,90,60,90,48
0622-000,622,0,ゴビット,,ゴビット,ゴーレムポケモン,92.0,1.0,じめん,ゴースト,てつのこぶし,ぶきよう,ノーガード,9,59,74,50,35,50,35
0623-000,623,0,ゴルーグ,,ゴルーグ,ゴーレムポケモン,330.0,2.8,じめん,ゴースト,てつのこぶし,ぶきよう,ノーガード,9,89,124,80,55,80,55
0624-000,624,0,コマタナ,,コマタナ,はものポケモン,10.2,0.5,あく,はがね,まけんき,せいしんりょく,プレッシャー,9,45,85,70,40,40,60
0625-000,625,0,キリキザン,,キリキザン,とうじんポケモン,70.0,1.6,あく,はがね,まけんき,せいしんりょく,プレッシャー,9,65,125,100,60,70,70
0626-000,626,0,バッフロン,,バッフロン,ずつきうしポケモン,94.6,1.6,ノーマル,,すてみ,そうしょく,ぼうおん,8,95,110,95,40,95,55
0627-000,627,0,ワシボン,,ワシボン,ヒナわしポケモン,10.5,0.5,ノーマル,ひこう,するどいめ,ちからずく,はりきり,9,70,83,50,37,50,60
0628-000,628,0,ウォーグル,,ウォーグル,ゆうもうポケモン,41.0,1.5,ノーマル,ひこう,するどいめ,ちからずく,まけんき,9,100,123,75,57,75,80
0628-001,628,1,ウォーグル,ヒスイのすがた,ウォーグル(ヒスイ),おたけびポケモン,43.4,1.7,エスパー,ひこう,するどいめ,ちからずく,まけんき,9,110,83,70,112,70,65
0629-000,629,0,バルチャイ,,バルチャイ,おむつポケモン,9.0,0.5,あく,ひこう,はとむね,ぼうじん,くだけるよろい,9,70,55,75,45,65,60
0630-000,630,0,バルジーナ,,バルジーナ,ほねわしポケモン,39.5,1.2,あく,ひこう,はとむね,ぼうじん,くだけるよろい,9,110,65,105,55,95,80
0631-000,631,0,クイタラン,,クイタラン,アリクイポケモン,58.0,1.4,ほのお,,くいしんぼう,もらいび,しろいけむり,8,85,97,66,105,66,65
0632-000,632,0,アイアント,,アイアント,てつアリポケモン,33.0,0.3,むし,はがね,むしのしらせ,はりきり,なまけ,8,58,109,112,48,48,109
0633-000,633,0,モノズ,,モノズ,そぼうポケモン,17.3,0.8,あく,ドラゴン,はりきり,,,9,52,65,50,45,50,38
0634-000,634,0,ジヘッド,,ジヘッド,らんぼうポケモン,50.0,1.4,あく,ドラゴン,はりきり,,,9,72,85,70,65,70,58
0635-000,635,0,サザンドラ,,サザンドラ,きょうぼうポケモン,160.0,1.8,あく,ドラゴン,ふゆう,,,9,92,105,90,125,90,98
0636-000,636,0,メラルバ,,メラルバ,たいまつポケモン,28.8,1.1,むし,ほのお,ほのおのからだ,むしのしらせ,,9,55,85,55,50,55,60
0637-000,637,0,ウルガモス,,ウルガモス,たいようポケモン,46.0,1.6,むし,ほのお,ほのおのからだ,むしのしらせ,,9,85,60,65,135,105,100
0638-000,638,0,コバルオン,,コバルオン,てっしんポケモン,250.0,2.1,はがね,かくとう,せいぎのこころ,,,9,91,90,129,90,72,108
0639-000,639,0,テラキオン,,テラキオン,がんくつポケモン,260.0,1.9,いわ,かくとう,せいぎのこころ,,,9,91,129,90,72,90,108
0640-000,640,0,ビリジオン,,ビリジオン,そうげんポケモン,200.0,2.0,くさ,かくとう,せいぎのこころ,,,9,91,90,72,90,129,108
0641-000,641,0,トルネロス,けしんフォルム,トルネロス(けしん),せんぷうポケモン,63.0,1.5,ひこう,,いたずらごころ,まけんき,,9,79,115,70,125,80,111
0641-001,641,1,トルネロス,れいじゅうフォルム,トルネロス(れいじゅう),せんぷうポケモン,63.0,1.4,ひこう,,さいせいりょく,,,9,79,100,80,110,90,121
0642-000,642,0,ボルトロス,けしんフォルム,ボルトロス(けしん),らいげきポケモン,61.0,1.5,でんき,ひこう,いたずらごころ,まけんき,,9,79,115,70,125,80,111
0642-001,642,1,ボルトロス,れいじゅうフォルム,ボルトロス(れいじゅう),らいげきポケモン,61.0,3.0,でんき,ひこう,ちくでん,,,9,79,105,70,145,80,101
0643-000,643,0,レシラム,,レシラム,はくようポケモン,330.0,3.2,ドラゴン,ほのお,ターボブレイズ,,,9,100,120,100,150,120,90
